,Best,Average,Worst,Median
0,1495492.8531024372,1891311.9887893887,2523469.681243719,1816492.8338651005
1,1334801.6715837205,1509979.718962263,1693272.9871297115,1509179.798738583
2,1280559.6698160304,1500047.000169696,1786420.5595886894,1481917.8724100161
3,1271026.8306301376,1519042.429625065,1918958.054150005,1480485.1793619164
4,1267796.0966561984,1524111.737651512,2255245.673838084,1483994.914065728
5,1266496.6941602395,1499542.6271084312,1791858.831661352,1489858.189591117
6,1265368.748047557,1477494.2624152442,1708459.7588076498,1484464.6899735942
7,1264458.576051101,1465024.5082177855,2163134.9147803057,1427252.4076183066
8,1263915.0392345833,1503696.8271920388,2249874.5953727392,1437329.0037344652
9,1261571.1754544638,1454127.3627492809,1711426.282470354,1458405.538959754
10,1255946.2799360268,1485005.4309669018,2124305.2628213423,1459745.900392428
11,1253375.712887742,1471144.3395044743,1784551.9393057395,1475236.7099731488
12,1252357.2138577313,1484533.885558535,2195205.240891711,1489214.6925893377
13,1252066.067448802,1465952.0019328897,1766366.9025514103,1473865.8719347743
14,1251845.3995138095,1472396.4826284512,1815319.4270170291,1493825.4362466645
15,1251807.2943766175,1459693.658291451,1800656.2177678237,1440007.371348574
16,1251750.0729890552,1465448.3616483682,1821461.6616213692,1444176.8649844427
17,1251719.6006259583,1474217.566633568,1810560.8719449386,1453786.485966607
18,1251718.1571617099,1505482.7851415738,1983774.4798658025,1464565.9931791981
19,1251718.103077238,1475997.5947261418,1747710.2144911278,1456856.9080614655
20,1251718.103077238,1474253.8177759012,1787112.025625582,1460657.1816972243
21,1251718.103077238,1465430.7944734124,1744151.0978535423,1431591.9024278724
22,1251718.103077238,1469484.581766969,1834242.6263007529,1445109.4383100262
23,1251718.103077238,1462062.579758136,1671518.805184009,1462289.7077774592
24,1251718.103077238,1471131.6554135832,1798064.6270196573,1464238.07852872
25,1251718.103077238,1478818.130245766,1810957.4640965543,1473523.3935551897
26,1251718.103077238,1461329.1124672038,1865589.9095228966,1414099.27086082
27,1251718.103077238,1456082.9464895925,1718395.194603967,1458790.053908649
28,1251718.103077238,1475266.1103211045,2095895.031687271,1417139.334045723
29,1251718.103077238,1467009.574020143,2240336.4330947455,1440547.4646575097
30,1251718.103077238,1470469.0153305135,1801012.2171230477,1456263.6149045574
31,1251718.103077238,1462780.827662104,1881741.1869912276,1412561.4928280744
32,1251718.103077238,1454414.7397365572,1699543.0377281434,1446796.5923228068
33,1251718.103077238,1467672.8945240371,1768788.9561523325,1444379.4140981976
34,1251718.103077238,1460943.2915307474,1769589.3888207257,1441583.1983197457
