,Best,Average,Worst,Median
0,198780.20508644142,456888.2677541416,1473664.8994483808,440351.47376763466
1,173547.55980606654,327765.51231751434,609668.5943121694,275936.5997980448
2,172300.81206829322,275491.5859605074,628440.7079931784,224559.35013446116
3,165795.08570580248,263114.5701699682,500934.59959773155,229937.93923470733
4,165119.800306808,282093.7257639744,587267.2746549635,243499.7002899378
5,164927.36852726532,257167.7063329771,483610.97527695633,240593.05700451543
6,164895.40792290447,243388.6789789089,446314.27322247083,243941.8577411889
7,164895.14890115353,233241.18217514714,435193.11831077095,221271.42574861244
8,164895.14890115353,239452.1815120718,561559.3965378331,242071.0575539731
9,164895.14890115353,241354.22821923482,445259.8006021872,250635.25021753466
10,164895.14890115353,239408.8253751076,479776.049232679,241797.4189368154
11,164895.14541208168,246396.53371189407,553215.6294574594,244896.7451308344
12,164895.14541208168,245832.76339010237,451175.07287684357,246682.9706926607
13,164895.14541208168,225014.0878889662,462544.48440079205,233797.78389320633
14,164895.14541208168,229617.89766470814,479848.7134322978,246646.53463683068
15,164895.14541208168,236649.57398468736,548531.0691264865,206858.67411212565
16,164895.14541208168,232693.6864866957,479640.35373355297,217002.01039414672
17,164895.14541208168,229070.73176325578,478410.33345973265,233106.0754793681
18,164895.14486938325,242071.40105591848,459935.43043513055,249286.76173429232
19,164895.14486938325,252898.72842208773,477305.62795680825,249238.66455904604
20,164895.14486938325,244030.6493751841,472174.60512460367,244640.27841277205
21,164895.14486938325,243956.74549251754,408152.92996669357,244182.75888807303
22,164895.14486938325,243296.57484688782,433915.336643385,247633.1968594516
23,164895.14486938325,243110.35447684585,460713.2191415479,249508.80542435363
24,164895.14486858068,244950.9652721461,413103.3534369075,248825.37816490117
25,164895.14486858068,260357.51756770295,440731.00011779804,254989.1282276761
26,164865.4376904055,251338.65130718827,589491.8943290943,251224.70331449303
27,164514.30893616873,248626.90408664607,484852.9051481271,250895.936123543
28,164407.68791067967,244767.45167496128,510145.03267755377,249760.65638877504
29,164374.41729256348,240974.68199714404,458722.61542970536,251661.64454604543
30,164374.21381022196,238861.11447145353,385773.35997613776,246681.1094436095
31,164374.21381022196,229400.16814164352,451700.4490456915,184917.25400654442
32,164374.21381022196,233534.98401448823,446314.32605078234,241896.83554375838
33,164374.21381022196,246183.02959854514,441329.8382317431,233158.59671599886
34,164374.21381022196,223030.29533157343,432665.766048983,192331.76642257252
35,164374.21381022196,238884.17354519738,412876.79662819096,249308.8026587505
36,164374.21381022196,252909.612250714,602677.2788476509,263399.8877434473
37,164374.21381022196,252378.531193055,479546.4822888732,260353.53270977276
38,164374.21381022196,248755.59056116396,602444.6080799756,248729.97633011822
39,164374.21381022196,267385.79317345837,450358.283268609,262669.7879479334
40,164374.21381022196,261037.15013325372,607609.0508506915,254401.32975479437
41,164374.21381022196,249477.4317236447,450367.99349823326,254354.22560936588
42,164374.21381022196,263316.2066629873,440944.7154134086,252741.83009477617
43,164374.21381022196,257374.0436902339,431809.79944409605,252850.0464732914
44,164374.21381022196,272463.97477132065,440613.4460697187,263047.73771825037
45,164374.21381022196,256541.56269499936,459315.8101443884,252166.37060828795
46,164374.21381022196,255925.0596449257,412685.1868561912,246577.14695983025
47,164374.21381022196,264371.6386797659,412742.9198571419,266566.1278042513
48,164374.21381022196,260226.56582486324,526876.6609213722,247358.14011201586
49,164374.21381022196,257690.41525653302,511821.88848585635,241673.0535573869
50,164374.21381022196,266156.5691187389,503835.70844263176,260936.31911555864
51,164374.21381022196,248651.742194268,438658.6612128606,230814.37661791148
52,164374.21381022196,260998.98403601034,417806.0388900918,251128.71187421647
53,164374.21381022196,244476.4444474312,625353.5261312423,223265.02533114474
54,164374.21381022196,243149.2982622218,543269.3609403116,248384.80515680788
55,164374.21381022196,240714.93907284556,446195.12835237425,216429.2732300539
56,164374.21381022196,249387.74883945772,444938.66207239544,248829.08500206313
57,164374.21381022196,253501.42546442914,440617.0677153075,248147.56473037944
58,164075.37802614697,239783.84214674894,429540.41046308435,243904.7862563739
59,163762.04015208746,247649.69535839107,407404.41738063865,261537.15929260652
60,163707.19914504257,265553.4639199518,461476.00039944827,256563.31645457476
61,163704.93303067234,257468.95424333855,451927.7000706319,252407.18076368104
62,163704.8437224101,274100.8405283784,482327.4073953172,256347.97853872748
63,163704.8437224101,264554.5675005096,466790.97295734193,256398.76615183387
64,163704.8437224101,269718.87051199755,518613.34866631834,253132.16930268792
65,163704.8437224101,259943.57785890024,451825.73092423833,260986.69373742247
66,163704.8437224101,260257.3698207992,481617.6268535624,262183.41870509123
67,163704.8437224101,248217.61923658443,438774.5020265018,248039.35243503226
68,163704.8437224101,263846.8269930835,433569.63360670547,255744.67396641496
69,163704.8437224101,262748.6894040349,452639.3218545701,250022.47637174063
70,163704.8437224101,261925.07421111935,440734.88443572295,264443.50374715385
71,163704.8437224101,276344.4017943842,531490.0791179716,265884.5136473392
72,163704.8437224101,276035.74295637145,532952.3832624689,250863.6098108261
73,163704.8437224101,265161.9006652841,459076.6740012998,259098.98937975641
74,163704.8437224101,276303.2832919776,548463.5915022733,254530.07914713255
75,163704.8437224101,274766.7646071242,479513.34359119134,261329.93564754704
76,163704.8437224101,262823.7625859073,438561.51926838193,248022.28666608618
77,163704.8437224101,272297.30794946005,501733.3462223657,250614.91286248344
78,163704.8437224101,254897.96269814117,482846.8845298703,243552.1247011758
79,163704.8437224101,251978.80332548133,461998.82370790455,202903.19969357311
