,Best,Average,Worst,Median
0,9126.747160672656,10993.884808967026,13595.559660158802,10899.80142390402
1,7147.713762756077,9435.387870489421,13595.559660158802,9405.1196285694
2,7114.549950631403,8451.776317298265,11893.628467196966,8104.093543023617
3,7114.549950631403,8112.065170851346,11174.369270188909,7804.58579573041
4,7069.10078709877,7771.68679248393,10146.650264461015,7579.193011447311
5,7069.10078709877,7745.071594495253,10494.55303936489,7596.7853196253445
6,6950.923656637036,7775.987119093382,10485.530461963455,7520.467356936137
7,6950.923656637036,7750.221500361423,9649.149639570685,7511.468823279782
8,6915.526702127745,7711.68649401652,9649.149639570685,7485.4854575481495
9,6866.478916638075,7454.679095645299,9019.444742904025,7342.56984139125
10,6756.221463149148,7558.141933659897,9772.950233768763,7340.796250849824
11,6756.221463149148,7549.817122270649,9636.732805318145,7342.56984139125
12,6756.221463149148,7536.846330593394,9058.102841969983,7342.56984139125
13,6756.221463149148,7492.602048986528,8932.098812574408,7342.56984139125
14,6756.221463149148,7522.580293997952,10932.072214621283,7289.715206409122
15,6756.221463149148,7390.6552158191525,9275.773684082336,7174.345401603631
16,6740.043429069958,7427.801598456719,9634.269090380381,7170.154689050794
17,6740.043429069958,7491.471912489412,9634.269090380381,7114.549950631403
18,6740.043429069958,7483.605359707852,9304.45711818978,7114.549950631403
19,6740.043429069958,7513.405034346191,9304.45711818978,7114.549950631403
20,6740.043429069958,7498.726552607609,9108.234458080144,7114.549950631403
21,6740.043429069958,7433.03234760452,9242.248473311156,7118.5463060149295
22,6684.265364358544,7340.886155323944,8683.187511271522,7118.5463060149295
23,6684.265364358544,7221.874108203102,8643.213113726804,7080.160529901144
24,6684.265364358544,7329.767950767168,9240.75177784653,7077.565806882096
25,6684.265364358544,7388.237056905609,8844.198031046673,7114.549950631403
26,6684.265364358544,7343.033475300489,8941.653241066382,7114.549950631403
27,6684.265364358544,7426.686286563474,9049.489974051126,7126.372915138007
28,6684.265364358544,7449.744479942631,9049.489974051126,7114.549950631403
29,6684.265364358544,7483.211226274915,8829.277703741722,7105.970692696859
30,6684.265364358544,7524.017933428388,9040.397027831474,7114.549950631403
31,6684.265364358544,7495.974308546039,9513.795017693652,7105.970692696859
32,6684.265364358544,7424.0460128359055,8927.66052153779,7102.79805432672
33,6684.265364358544,7432.770877762067,10523.812467804928,7105.970692696859
34,6684.265364358544,7485.527157646544,10305.96962357514,7066.059720981642
35,6684.265364358544,7394.504451051699,9723.590033134526,7066.059720981642
36,6684.265364358544,7496.017860313107,9723.590033134526,7066.059720981642
37,6684.265364358544,7537.587371081503,9144.435747711195,7066.059720981642
38,6684.265364358544,7579.588561195093,9144.381665935172,7080.58876052538
39,6684.265364358544,7584.605411439517,9288.150071629969,7105.970692696859
40,6684.265364358544,7545.972468792186,9513.795017693652,7153.714317860953
41,6684.265364358544,7599.747932991686,10608.367956452528,7115.954601837062
42,6684.265364358544,7527.713153080729,9694.513528942229,7105.970692696859
43,6684.265364358544,7589.708012390761,10119.4649779024,7105.970692696859
44,6684.265364358544,7537.1352781165615,9954.302076637936,7105.970692696859
45,6684.265364358544,7589.0588218876865,9773.17682214707,7116.208079096732
46,6684.265364358544,7506.995465992268,9461.677383951228,7132.739253609639
47,6644.540483241252,7525.744557496233,9181.443915415282,7203.16737336031
48,6644.540483241252,7421.012214382607,9230.77565435048,7182.651788993937
49,6644.540483241252,7553.197486332236,9451.395906952348,7223.6829577266835
50,6644.540483241252,7769.587170559864,10119.4649779024,7223.6829577266835
51,6644.540483241252,7743.917492191361,10072.98597403313,7223.6829577266835
52,6644.540483241252,7691.81788510561,10072.98597403313,7223.6829577266835
53,6644.540483241252,7614.259598835843,10305.96962357514,7203.16737336031
54,6644.540483241252,7535.9523356892105,9954.302076637936,7196.586130917028
55,6644.540483241252,7560.708179655256,10305.96962357514,7203.16737336031
56,6644.540483241252,7427.207114707448,9451.395906952348,7223.6829577266835
57,6644.540483241252,7369.995974738465,8867.872350366506,7116.208079096732
58,6644.540483241252,7447.774932718703,8803.937158521352,7223.6829577266835
59,6644.540483241252,7444.296530097087,9306.470940652149,7256.862632385847
60,6644.540483241252,7463.090104848755,10305.96962357514,7223.6829577266835
61,6644.540483241252,7453.6759231396,10305.96962357514,7099.156961840825
62,6644.540483241252,7358.693195267389,10305.96962357514,7099.156961840825
63,6644.540483241252,7420.694232333059,10355.301362510338,7099.156961840825
64,6644.540483241252,7234.684971627975,8445.715369009247,7099.156961840825
65,6644.540483241252,7185.989105683303,8811.340592527144,6921.540483241252
66,6644.540483241252,7395.811208724707,10355.301362510338,7099.156961840825
67,6644.540483241252,7483.3158985944165,10355.301362510338,7099.156961840825
68,6644.540483241252,7584.1410026521,10355.301362510338,7099.156961840825
69,6644.540483241252,7503.639763458055,10355.301362510338,7099.156961840825
70,6644.540483241252,7410.947490037304,10355.301362510338,7099.156961840825
71,6644.540483241252,7267.88638719283,8860.672331462341,7099.156961840825
72,6644.540483241252,7475.244137560028,10355.301362510338,7099.156961840825
73,6619.2496097536405,7396.87030271282,10355.301362510338,7099.156961840825
74,6619.2496097536405,7224.567206174867,8892.9678463552,7099.156961840825
75,6619.2496097536405,7278.1884107022,8860.672331462341,7099.156961840825
76,6619.2496097536405,7342.997004141259,8860.672331462341,7099.156961840825
77,6619.2496097536405,7508.206600932081,10355.301362510338,7099.156961840825
78,6619.2496097536405,7499.021868408835,11528.8754886518,6921.540483241252
79,6619.2496097536405,7448.260818897517,11528.8754886518,6921.540483241252
