,Best,Average,Worst,Median
0,468283.85224505817,510413.05038581224,559439.7170850767,507467.5405625773
1,353441.0732654433,385070.1017632715,445739.46093496925,386596.01730772795
2,318643.50597978797,344888.3133500254,396993.46739379136,339382.81510809355
3,310430.4444125927,335693.8122835414,401959.63258262345,326707.28721013275
4,301637.28001311177,327908.6409822461,391542.3487204111,320148.2309618621
5,298533.09222660307,330610.5764752591,401034.4360529343,319618.2103409006
6,296359.5786220974,325097.6400473367,394693.7822945058,316433.4986648421
7,294855.2647083037,323171.21486788214,383005.65342734265,316171.14784657065
8,293424.3393606439,321030.6423674764,388164.2525512279,311923.8692590124
9,292836.5404643009,320341.3477351349,391990.25089157827,311756.3671646846
10,291949.7972257342,322765.12153175287,403282.9119118363,310900.4692122399
11,291358.3771374806,323213.5303882012,422782.08196036646,310394.46528083016
12,291260.9699213737,320452.6308303436,395843.46360613516,310714.97960016807
13,291095.5148292921,315499.42919985746,392040.7074667478,307961.2038927758
14,291030.55083070253,318816.2162625594,400331.8064558405,309331.64245939424
15,290986.2194827816,322016.7507137998,385398.9051705504,310643.974822235
16,290985.2181493767,317757.98054820497,382303.86499007733,311869.97480039054
17,290985.1860133469,322053.20357160945,406550.46855898725,312772.2361516729
18,290985.1860133469,321992.546994339,401113.3922146058,316512.8668359759
19,290985.1860133469,317211.596300037,392102.26439836295,307594.55676367355
20,290985.1860133469,316907.21903705754,398619.2818053709,307329.36486744613
21,290985.1860133469,313605.62228795275,374447.2108909029,306806.4120009013
22,290985.1860133469,316406.18384740985,388393.50685921544,306270.50723235775
23,290985.1860133469,319038.1525959438,402307.30312895763,304889.5084941674
24,290985.1860133469,317519.96518261096,391211.41919682216,306272.9130836785
25,290985.1860133469,320526.87008752,418719.0996779752,311417.92766316305
26,290985.1860133469,321093.6209828492,406832.01579653064,310996.706971086
27,290985.1860133469,321283.38325466285,391541.27831480285,311274.3673475224
28,290985.1860133469,318342.3073676201,382885.01752692065,307402.67631887074
29,290985.1860133469,319746.4530828157,422777.6015135852,308864.4315923803
30,290985.1860133469,321794.93713118095,403133.3090930068,308876.102474894
31,290985.1860133469,321151.2376935583,382481.8086535513,311028.78182580555
32,290985.1860133469,321328.4883467199,397736.50095586746,310141.74508922
33,290985.1860133469,318575.94348150335,374844.14350494556,307682.2133237894
34,290985.1860133469,321899.09108562244,385652.2046397638,312297.94169227476
35,290985.1860133469,320126.09058189223,379896.16882130015,314614.3142889071
36,290985.1860133469,318454.42316638,395372.4704609012,309598.12313458323
37,290985.1860133469,321608.26938520506,404911.13753523654,311539.75610587164
38,290433.0722253813,320519.1849336362,388817.3616401163,311760.2950387029
39,289719.8885900506,320575.0082423573,400339.713764881,313384.7276392068
40,289651.9818479492,318119.46278894605,385569.1391058666,310513.3047968191
41,289649.06024084747,321136.4049571612,387480.15699844266,312321.75529920217
42,289646.87052534055,323513.76454170275,383545.2667522994,314287.62949871074
43,289644.97278198495,321629.5466340749,374702.32171851397,311890.86720746354
44,289644.44106073986,323212.97350930126,398021.9700981664,313877.3275590517
45,289644.37933216605,322785.3294457747,409751.92538694513,313428.82055103686
46,289644.37933216605,322851.7735470129,379292.40911076666,313739.30355986493
47,289644.37933216605,318899.51129709283,384449.92771500925,307938.9412639446
48,289644.37933216605,321878.90664324706,414980.09941127896,307372.8822815458
49,289644.37933216605,319716.74623222544,404947.0037673055,306040.64839559316
50,289644.37933216605,322108.91328897234,392788.9871867981,309628.62684751616
51,289644.37933216605,317041.3205140557,390582.9921952601,310160.11841310654
52,289644.37933216605,318535.65564145945,385722.36748565594,308192.2345739146
53,289644.37933216605,321656.0239464357,412352.91533065005,309014.4155765041
54,289644.37933216605,317059.84568224044,379988.04568835895,306663.17221166263
55,289644.37933216605,322841.903956628,415472.2815921728,310870.5158187819
56,289644.37933216605,323729.4633558553,387629.1785554495,310545.3568613989
57,289644.37933216605,321419.76100784534,380220.10231840145,311626.6003352082
58,289644.37933216605,317108.32195167465,379473.47621297336,307737.79945495015
59,289644.37933216605,318508.2427668928,394617.8106918057,306538.6231778525
60,289644.37933216605,321327.6458521913,399441.92095962504,310648.4096931778
61,289644.37933216605,317161.4341803376,402975.31522319576,307230.65203130076
62,289644.37933216605,319014.65537924395,406026.88235259283,306560.6634392219
63,289644.37933216605,318301.4637340744,400636.8747507909,308036.88988397486
64,289644.37933216605,322168.9762346701,384207.26916296355,309863.9778099791
65,289644.37933216605,318415.8001254696,368697.17244587373,312538.602196602
66,289644.37933216605,322078.60032603866,385106.0270805262,313100.4615291425
67,289644.37933216605,322203.8798214851,397298.45218590356,313752.71014765423
68,289644.37933216605,323346.0703455429,406032.325431801,309137.4464267908
69,289644.37933216605,321296.3286141898,386157.22159153875,313115.45901791134
70,289644.37933216605,321194.65779478016,377766.3827067744,313859.8796594966
71,289644.37933216605,319466.59111054346,403049.52150168456,308010.393129574
72,289644.37933216605,318504.17816371506,380405.9092407852,306204.1903880816
73,289644.37933216605,316382.4321176986,390668.7063295275,306610.2449822854
74,289644.37933216605,316216.21839640307,388417.3841105624,306442.3622407625
75,289644.37933216605,317531.2725520869,379594.2985968598,306351.989787252
76,289644.37933216605,313668.63681361754,392811.93305516243,306221.7936792902
77,289644.37933216605,314805.06295368954,378242.5280435593,306552.14666385594
78,289644.37933216605,317211.48198433156,385918.5192210386,306036.1901481439
79,289644.37933216605,315871.77493034495,379803.0257414214,306029.2810029424
