,Best,Average,Worst,Median
0,71634.47406,82908.69536,106104.0799,80551.55389
1,35767.60477,50208.36058,63443.71007,51492.56247
2,26218.11036,37857.0438,60686.16914,35057.8605
3,21632.89468,32210.6958,49560.19949,31446.70558
4,20714.60693,27113.57732,41227.43614,26706.49829
5,19673.3075,26033.92716,55614.21803,25095.58705
6,18784.89969,27331.63924,55180.74555,26147.67657
7,18653.84785,26794.34449,60246.90094,24072.89008
8,18564.59189,25187.8813,59325.85381,23771.77012
9,18525.57041,26725.51695,60797.42392,23380.55032
10,18511.98205,24886.53446,53122.7642,23017.44768
11,18509.28662,26976.13604,57529.4166,22922.61369
12,18509.2717,25000.53034,54870.77517,22624.69996
13,18509.2717,26161.03279,60060.59603,22733.59231
14,18509.2717,25407.87908,44703.97782,22892.91333
15,18509.2717,25185.03676,57788.59924,22410.39811
16,18509.2717,25279.13537,60875.06387,22376.81456
17,18509.2717,25429.42269,60320.428,22785.86858
18,18509.2717,24135.07936,57191.47879,22925.4187
19,18509.2717,27010.44948,61364.10427,22975.32293
20,18509.2717,27037.52343,73619.13202,23643.11167
21,18509.2717,26348.50521,56024.33682,23002.95094
22,18509.2717,27561.77802,57975.24136,24148.64792
23,18509.2717,25734.79558,58121.33898,22958.6017
24,18509.2717,25425.57587,54657.45944,22770.47522
25,18509.2717,26268.78428,58783.39883,22206.0417
26,18509.2717,24220.72081,56721.37066,22603.63189
27,18509.2717,25906.55767,52575.93962,22791.49624
28,18509.2717,26923.54662,58444.42924,22446.85213
29,18509.2717,26849.52391,60359.72777,22940.11313
30,18509.2717,25204.29924,54949.8315,22573.49058
31,18509.2717,25573.72768,57521.52831,21829.80201
32,18509.2717,27117.50547,58203.81691,22526.69154
33,18509.2717,25573.65682,57840.48297,21980.71979
34,18509.2717,25703.64243,57382.09773,22060.55228
35,18509.2717,27014.27345,58627.24806,22300.54092
36,18509.2717,25720.92773,58315.68687,22195.68332
37,18509.2717,25992.6179,57886.06901,22182.58318
38,18509.2717,26873.23051,58518.34762,22371.1263
39,18509.2717,25336.70098,58173.32831,21790.93182
40,18509.2717,26286.92405,61610.19605,21810.76734
41,18509.2717,25030.18226,56597.11854,22258.97908
42,18509.2717,25421.21426,73909.94104,22376.81456
43,18509.2717,24908.74557,59436.35909,21979.21818
44,18509.2717,25079.56219,47384.51402,22586.51624
45,18509.2717,24998.34326,61221.1455,22617.15871
46,18509.2717,24760.136,62046.86324,22655.09525
47,18509.2717,26753.97253,60262.3292,22760.10912
48,18509.2717,26647.04785,60700.98905,21843.00268
49,18509.2717,25550.85718,58779.1586,21771.09465
50,18509.2717,23501.061,43024.1248,21771.09841
51,18509.2717,23867.84826,57194.39035,21771.09465
52,18509.2717,26431.48889,62330.61424,22246.38235
53,18509.2717,25807.72307,74560.74427,22013.34584
54,18509.2717,24346.31374,55544.03322,21771.34188
55,18509.2717,24264.97708,73697.58009,21973.87683
56,18509.2717,23901.51091,43550.12812,21826.21481
57,18509.2717,25723.51162,41581.01524,21771.08972
58,18509.2717,25893.78584,57924.97097,22364.86624
59,18509.2717,25276.70032,55888.72957,21771.18429
60,18509.2717,24892.21315,58521.99288,21771.12722
61,18509.2717,24217.61331,41758.0047,21741.8103
62,18509.2717,24005.60417,43227.19472,22066.37508
63,18509.2717,24859.42428,41877.66242,22085.23282
64,18509.2717,24081.75228,42138.49759,21771.09092
65,18440.68037,25098.48833,42711.46764,22593.77864
66,18440.5515,25063.58338,43055.237,21733.3104
67,18440.52901,23543.82103,41225.42211,21771.09465
68,18440.52901,23473.50048,40629.78061,21712.52595
69,18440.52901,24586.89396,46718.52728,21766.1436
70,18440.52901,24616.64711,42270.78681,23162.88049
71,18440.52901,24354.11753,58272.73011,23130.04146
72,18440.52901,24833.28187,54752.776,22136.94148
73,18440.52901,24612.81984,45321.16982,22140.07588
74,18440.52901,24445.99484,43554.4352,21797.40751
75,18440.52901,24809.76572,58002.64431,22314.05866
76,18440.52901,24002.88174,41388.65252,21924.0673
77,18399.75845,23923.86539,42247.6206,21658.86678
78,18359.19336,24372.16037,61520.91396,21763.65615
79,18359.04899,25373.49289,56209.7602,21771.15025
