,Best,Average,Worst,Median
0,73755.92624,82728.57283,99895.79881,80974.58695
1,37044.85999,50425.42343,63833.24341,49624.14582
2,25707.81353,38134.93189,56855.20519,34791.68278
3,20332.7595,29434.12548,52735.53312,27270.33447
4,19195.2275,25105.79127,42758.6451,23395.13132
5,18964.22066,23811.14042,35368.75366,23112.82461
6,18820.22289,24647.29792,58234.37221,23011.40669
7,18746.3812,26569.85043,62225.07677,23052.88504
8,18710.72167,25772.58626,56647.87025,22489.97701
9,18710.36124,26229.64259,61499.73807,22260.49214
10,18710.36124,25665.515,55956.50997,22062.71243
11,18710.36124,24875.54421,60625.64264,22371.04601
12,18710.36124,26481.99916,60489.76788,22321.29148
13,18710.36124,24852.37013,46529.02736,22298.44139
14,18710.36124,23776.18488,42592.55977,22120.51805
15,18710.36124,24834.60252,59529.1414,21891.02262
16,18710.36124,25571.33885,55677.29447,22207.80911
17,18710.36124,24802.79341,44420.54394,22152.80102
18,18710.36124,23659.61895,42126.92097,22152.80102
19,18710.36124,25817.44443,61247.65493,22152.80102
20,18710.36124,24225.58288,57006.55248,22152.80102
21,18710.36124,26091.11039,58761.49377,22152.80102
22,18655.88445,24925.86136,39674.94737,23121.75389
23,18605.57717,24721.21273,74180.22696,22152.80102
24,18575.40564,23718.30812,44972.55089,22161.46394
25,18572.42789,23809.39948,42019.46752,21833.84513
26,18572.3375,24342.63275,55032.77721,21993.32308
27,18569.83055,24585.46749,61502.90842,21626.80321
28,18569.83055,24106.0166,62776.61688,21826.35208
29,18569.83055,23761.74352,74172.46693,21826.35208
30,18569.83055,25760.71375,60898.10092,21826.35208
31,18569.83055,24486.40084,55592.51285,22102.65535
32,18569.83055,24235.81123,61373.52136,22339.77665
33,18569.83055,25667.01031,74595.66051,22152.80102
34,18569.83055,25836.58334,65378.02211,22201.54931
35,18569.83055,24772.429,48072.90563,22551.63219
36,18569.83055,24859.23101,43160.63045,22587.81011
37,18569.83055,24575.16301,40135.1697,23273.90746
38,18569.83055,27028.16604,67377.91475,22928.9688
39,18569.83055,23403.85825,42235.9952,22089.31344
40,18569.83055,26402.62027,57415.27995,22795.29701
41,18569.83055,25091.58603,55239.68148,21964.87301
42,18569.83055,25654.56892,56884.81703,22089.28538
43,18569.83055,25022.38614,56541.96999,22986.29382
44,18569.83055,22636.61421,34086.33192,21626.80321
45,18569.83055,25688.41814,74064.0334,22516.7549
46,18569.83055,26164.79997,74692.03082,22684.31566
47,18569.83055,25138.33537,74360.97199,22444.01744
48,18569.83055,24970.74474,61584.32374,21626.80321
49,18569.83055,25277.05495,58264.54392,22965.10319
50,18569.83055,25998.55917,58161.36067,22721.54307
51,18569.83055,25499.85531,53369.76962,23170.33417
52,18569.83055,24327.40231,41179.31241,22511.71106
53,18569.83055,24386.29574,41896.41006,23378.66912
54,18569.83055,24917.15333,59586.06667,22820.04179
55,18569.83055,24608.84738,44198.51386,23099.72969
56,18569.83055,25586.32935,59161.16332,22726.88833
57,18569.83055,26417.09812,57412.09804,23016.71718
58,18569.83055,25918.07755,55342.42814,22592.36123
59,18569.83055,25861.39223,40823.38821,22939.2796
60,18569.83055,24962.18564,43413.09744,22516.7549
61,18569.83055,25880.8874,53912.79874,22875.3302
62,18569.83055,25358.43256,75010.73412,22844.73655
63,18569.83055,24852.70619,45467.4194,22944.00293
64,18569.83055,25437.538,45321.59851,22861.17399
65,18569.83055,25841.55515,61874.92414,22638.27012
66,18569.83055,24390.37546,40923.70991,22725.49163
67,18569.83055,24633.38487,49473.55343,22894.07276
68,18569.83055,24485.22727,75587.98015,22433.58392
69,18569.83055,24893.27675,61075.10382,22656.1916
70,18569.83055,26322.74651,61793.3714,22695.87797
71,18569.83055,24570.43599,58376.86353,22275.70529
72,18569.83055,25477.67599,62356.71965,22385.25036
73,18569.83055,24360.13182,56792.59237,22224.83823
74,18569.83055,24313.69784,59568.79303,22368.74563
75,18569.83055,24516.87754,60594.68378,22115.14971
76,18569.83055,26237.9409,58144.51789,22435.40311
77,18569.83055,27387.58569,75041.177,23036.60338
78,18569.83055,25591.55316,56196.40936,22436.53257
79,18569.83055,23869.07264,58580.2539,21866.14281
