,Best Result,Time Taken
0,90889.24392,199.8495069
1,89750.44157,194.6563888
2,89463.13603,196.4714439
3,89551.79402,202.49909
4,89551.80841,210.8794408
5,90831.11062,213.8063941
6,90888.99268,220.6295171
7,90919.48352,217.933135
8,90906.32979,224.3998361
9,89684.15805,217.4740973
