,Best,Average,Worst,Median
0,866244.0562222077,1009049.0645730072,1170601.6398353889,1000928.2322016635
1,724794.1627665007,824409.1086640967,921240.4863248871,824444.3773532868
2,695403.2738371326,782057.5004927886,919323.7182298319,779266.1101839948
3,675819.9672365095,769486.0286162314,913053.6741767073,775071.7339521595
4,668174.6959925025,755697.8417104818,890375.6269006949,745960.1363507216
5,665185.9122838365,744758.3352368482,872265.2001087302,738275.2973955991
6,664736.4961826799,732311.4790070992,851852.2807677549,726922.1302269908
7,657768.3447541306,739007.8229107748,905205.4141412943,735171.5103832062
8,655130.0136852888,740551.1396024987,965482.6243239206,736213.1745091887
9,653808.2768480161,735850.6736391573,848110.3727033185,734681.2612918555
10,652675.310145183,746727.3874135545,933502.3802084792,730380.033194657
11,651044.2013770477,737848.2736110265,852523.2689156078,726540.8311723704
12,649711.2111681818,731465.5499447093,856519.3229975144,725300.4698148491
13,648840.1152710223,742113.5590178947,891444.028003215,725709.2682228044
14,648282.8093731159,737875.0298154744,848465.8810230208,729232.2425338168
15,647996.0886759588,752195.1546173228,912954.799297916,732532.337373649
16,647705.3664564574,751848.4461904085,893329.7406161643,741128.2379689981
17,647565.6687747582,743072.6639102156,870505.5985981935,729252.171900457
18,647515.1484966294,747481.8297253478,866173.9224504358,738224.9059211466
19,647473.7736878141,735651.6133188284,872246.7278773905,723855.4832641367
20,647431.1550317719,735956.7632429182,858293.7124625107,724046.2492953066
21,647388.0957983222,742116.3812169466,917963.0326371389,731013.9294490194
22,647386.7119745626,741906.5534196349,897234.8332510199,728980.4369258329
23,647386.675272284,758014.9668455287,970666.9957089457,732827.0135568684
24,647386.675272284,731358.0735381966,816915.4160037384,719658.5670013763
25,647386.675272284,741358.367866139,975909.3606029132,725057.0603022468
26,647386.675272284,744860.0619287187,864442.7557023836,738292.3980877222
27,647386.675272284,739092.9286720494,942968.4934562009,728715.534053051
28,647386.675272284,735817.0106454854,933376.4109717947,725809.0957694505
29,647386.675272284,741187.884184634,856880.9768476503,723717.0480692813
30,647386.675272284,732107.8932320705,895698.0098687218,727225.9304485319
31,647386.675272284,731033.2600996537,891734.3374343268,718696.4367741209
32,647386.675272284,735246.6904473365,891946.1506702178,725257.0749809137
33,647386.675272284,734153.1796707344,847460.2700315461,720809.2693824002
34,647386.675272284,731857.9858452157,887295.301618733,720887.2111991504
35,647386.675272284,749454.9695302601,914244.1511873734,738718.171137026
36,647386.675272284,745697.1314085593,837532.1566331913,737997.534891696
37,647386.675272284,736233.52794819,885573.6457822679,729723.7062537912
38,647386.675272284,754666.6033201066,893132.9384200752,750724.7192090185
39,647386.675272284,746540.1371452052,866069.2095712584,746218.2833649225
40,647386.675272284,746374.3588462338,868604.0968030831,744097.0456538693
41,647386.675272284,747588.5392323439,905413.6547275437,743092.3695357707
42,647386.675272284,743426.9451127292,872539.0027291954,731678.5093381243
43,647386.675272284,738646.2859170903,881247.1155340626,725477.2371994276
44,647386.675272284,742273.9557830424,906360.7425109998,718900.1019822189
45,647386.675272284,738374.8124011636,905358.3744667211,728177.2988845531
46,647386.675272284,747090.0093801015,903883.4739460604,737948.9279783593
47,647386.675272284,742397.3257059503,939775.2624486845,726055.2280019622
48,647386.675272284,745710.1559360615,889800.8678814335,730519.6206692469
49,647386.675272284,746764.7300088222,925315.7257181851,744008.082587993
50,647386.675272284,747581.2699130632,1100941.4962673779,739973.8258195216
51,647386.675272284,736323.305378586,904961.4774501289,731250.6198680348
52,647386.675272284,739661.5457153108,915463.1743511308,734167.9830143976
53,647386.675272284,735856.0875365088,850868.2836118096,727339.4479410488
54,647386.675272284,736665.0973660521,953100.9250624122,731950.2362273735
55,647386.675272284,730556.9411807992,856824.766645915,722787.1526615662
56,647386.675272284,733545.3365239911,842901.8996494839,735864.1306065659
57,647386.675272284,730984.7562115713,865639.5479444489,718370.0450026271
58,647386.675272284,743470.0391964964,873508.773003259,733028.8684018841
59,647386.675272284,740396.8662550529,875028.001929108,728939.8682863297
60,647386.675272284,741495.6990908821,892914.7861788599,727620.527346187
61,647386.675272284,743633.8799157378,943528.8848856961,726470.3594164263
62,647386.675272284,741195.5248144887,916742.910904214,732214.6413731431
63,647386.675272284,742883.4746285095,900896.9362259808,730422.615691344
64,647386.675272284,737867.8087906133,893465.8708154061,731164.459286293
65,647386.675272284,744983.4921574395,897238.1928866269,731914.5993197392
66,647386.675272284,740861.1496148768,872024.7194742598,731055.8866676688
67,647386.675272284,738975.8652364105,887865.6669578226,731058.7402079155
68,647386.675272284,737637.6540591976,908058.3420003382,729012.9897552071
69,647386.675272284,731358.6747175624,814606.5038682766,732243.1942091029
70,647386.675272284,739439.4864856127,910304.187970907,731648.9513982511
71,647386.675272284,742435.9297378741,889517.9287955997,739045.4679340322
72,647386.675272284,747220.809275899,951708.355208952,730141.4097436559
73,647386.675272284,748967.9527398318,961219.1672752633,745062.7076464565
74,647386.675272284,744947.4440229513,926806.3490355053,732900.4890601595
75,647386.675272284,746119.3557504411,909770.8117754287,743904.9869820491
76,647386.675272284,739240.3372091831,863436.8007315999,732266.4796198492
77,647386.675272284,743652.3061846972,914394.6808334652,726905.207897525
78,647386.675272284,749249.3019140239,940164.4211148472,744354.8479763352
79,647386.675272284,728608.9016182986,834266.0438733139,730865.8513203914
