,Best,Average,Worst,Median
0,761889.966884729,855905.5050240963,982589.2905084405,848929.438125558
1,643647.3146432105,691737.3528825563,773375.2706789937,688666.3884670255
2,589863.7382568025,651737.4954734741,803137.6927846924,642049.5839584048
3,576164.530561361,630843.6928232015,718749.1936689661,620272.1938586563
4,561780.6278892744,627949.5642282828,714811.0141702577,622279.6556374842
5,555424.5269420239,628660.9275458102,788128.0701767225,613193.140111145
6,552312.9837000015,626139.7337210445,770415.9089888274,614795.2134155068
7,549001.2076674193,623875.870621901,748448.1105509571,611200.5845080684
8,545432.0857509733,619228.2401071228,707508.4728496,608997.1348938482
9,543558.9669261001,611793.1003335961,751965.8068804127,604368.2244021724
10,541899.6458045826,611842.675159928,741451.5696969058,602437.4561558944
11,539728.9296302167,613494.7789311825,773618.2622846684,598914.7703065027
12,537967.6332934125,608433.4002937312,694771.4680119434,605804.250347784
13,537726.4258137845,616371.3908440016,730203.8181139717,596231.3273421348
14,537612.1997664861,610793.6408453829,748369.6624169673,602025.6458770379
15,537610.7492278764,609190.4283702823,757878.2997615831,595939.0000645746
16,537610.7492278764,618529.4578268399,799802.5299526419,599752.0461924232
17,537610.7492278764,611980.0513294798,730768.0126669146,599889.5656115025
18,537610.7492278764,612962.8046775495,710092.3550497098,608027.2774059065
19,537610.7492278764,616412.3216276775,727930.9309437686,600826.3544149586
20,537610.7492278764,612406.2137809176,728200.2476728432,597670.020314266
21,537610.7492278764,615313.0075429338,729239.1792308346,602874.5515145222
22,537610.7492278764,601263.361287803,701347.1972503434,595135.0290051491
23,537610.7492278764,608438.8177888441,702477.6958257642,600668.0805078861
24,537610.7492278764,603420.3995637938,722552.5939802589,592617.561472425
25,537610.7492278764,614825.1765164143,788770.9398911393,601901.9664632068
26,537610.7492278764,605422.8008823653,746766.2683500107,595579.0370217378
27,537610.7492278764,609880.8439591414,782301.7935663624,590124.4757958588
28,537610.7492278764,615877.0234003436,726244.2841914622,608663.6187056486
29,537610.7492278764,610625.3194488009,716195.5828081444,595896.9871524265
30,537610.7492278764,606408.0049676936,758922.1083540044,592799.2073960897
31,537610.7492278764,602104.521616899,860961.64979952,588348.4300911959
32,537610.7492278764,610400.6891778159,804025.0402330733,591963.1213634403
33,537610.7492278764,607291.6373701073,730720.5688572449,591442.2871110197
34,537610.7492278764,601814.0794085551,701648.4116298612,590567.5197095715
35,537610.7492278764,605045.0713553062,888039.1246716506,587058.4987840492
36,537610.7492278764,616998.3239574985,759869.803088541,597112.7691627876
37,537610.7492278764,615046.1914631019,760001.83040735,594718.6546514042
38,537610.7492278764,604379.3595917332,702205.0826105473,593470.0947088617
39,537610.7492278764,606700.0961727443,749169.783564314,597186.0033971213
40,537610.7492278764,611077.0626301432,754197.6948574879,598482.0949843903
41,537610.7492278764,614900.1618198844,734901.3780026102,605376.6750634024
42,537610.7492278764,616761.4171043803,753335.3911530126,604376.5654062992
43,537610.7492278764,611828.5561994785,706197.8305638167,600024.7172525539
44,537610.7492278764,605588.4304285687,730361.3188691603,597014.6811065936
45,537610.7492278764,609303.3185333237,709555.6689337147,599951.5648304946
46,537610.7492278764,606638.9061893501,736521.5448371753,598584.985908139
47,537610.7492278764,614020.7341680151,751623.3795428986,596877.0128217698
48,537610.7492278764,616640.9204365878,735363.9423563259,596063.585405754
49,537610.7492278764,607838.6828021606,756497.9382918841,593688.2710865635
50,537610.7492278764,611234.1157977413,804859.3661689558,590976.756642618
51,537610.7492278764,608397.5614257705,756956.3415717153,593107.2839561801
52,537610.7492278764,604267.4674794277,764815.3082243871,585339.0445457767
53,537610.7492278764,603910.0074894935,733599.7244814852,587531.6933849315
54,537610.7492278764,614349.9559533105,816757.3810055589,598300.963545447
55,537610.7492278764,613111.6676207987,745242.4989430159,587959.6166230273
56,537610.7492278764,603104.00741699,787818.7249116148,584960.3444104121
57,537610.7492278764,600146.3010721231,738177.8813366522,583466.0393728854
58,537610.7492278764,600384.4919511006,680962.5244177058,590977.5153954524
59,537610.7492278764,598799.354691035,717301.9909868198,589587.829967778
60,537610.7492278764,600416.0448923239,727032.2882309506,587509.3039931346
61,537610.7492278764,598991.7616341598,694935.587132994,591651.2423948371
62,537610.7492278764,596705.4381561168,689965.5039655006,582685.8527941213
63,537610.7492278764,593241.8160319292,685317.4321264671,583010.1396180578
64,537610.7492278764,591815.5261144191,703565.2736948992,581815.1202663297
65,537610.7492278764,599503.4329947835,753318.8667023671,585026.2123875632
66,537610.7492278764,601824.6841466463,705399.1081765702,579912.566054693
67,537610.7492278764,607588.5043437976,751932.9060697567,593848.491971361
68,537610.7492278764,598851.1282972052,697422.5018260493,583072.2136922079
69,537610.7492278764,601890.9033909385,738033.343795025,589812.548536256
70,537610.7492278764,606052.394338272,684111.313334963,596235.5035469768
71,537610.7492278764,607791.1079339761,744444.7245826854,598693.9796717342
72,537610.7492278764,605074.9893869233,736041.0139861437,596868.0337505697
73,537610.7492278764,613517.6530094643,781326.5930969347,593161.7778898587
74,537610.7492278764,605331.874898967,764860.5537674034,587166.3449743232
75,537610.7492278764,600787.7753548553,708471.9426257188,591315.6729682273
76,537610.7492278764,615526.8885941135,816582.5016299643,592201.1654795123
77,537610.7492278764,606627.1557211429,730665.2871975728,589910.7144113556
78,537610.7492278764,608935.7490062505,711659.2705193762,595250.714655153
79,537610.7492278764,598714.6203693096,697642.373518293,585309.6611541561
