,Best,Average,Worst,Median
0,563392.4514093599,1009356.7433755627,1670536.4686174754,920706.2761786891
1,552284.245396369,672151.6768521178,1057821.6255714775,589258.6240508604
2,551173.6570860024,620944.6305018092,838117.6386019073,565091.611353022
3,551067.201836105,624181.9307675131,805454.21062632,575869.048399412
4,551063.9579837371,643713.434834376,814540.685711893,565062.6891014753
5,551063.0060244636,625479.3700794434,854336.4327813658,565191.1496739789
6,551062.9426341564,607205.8692255692,783242.8486035671,565062.6684365015
7,551062.9426341564,633697.0802438556,834770.392203589,565062.6632563968
8,551062.9426341564,637463.503404791,843314.6233353,565062.6684365015
9,551062.9426341564,634432.660048358,818075.8084892503,565062.6684365015
10,551062.9426341564,625372.6327670142,812109.0187304185,565062.6684365015
11,551062.9426341564,652874.7013080646,820072.292663312,582017.0779330551
12,551062.9426341564,670337.6665788171,816752.378638471,706988.9622844008
13,551062.9426341564,657433.7988568495,820008.3474967054,572630.5954016533
14,551062.935995922,656590.2729372621,807448.7397106402,630744.3467499746
15,551062.935995922,661046.0917342869,834239.2818167815,565182.1721744968
16,551062.935995922,634222.530926975,780551.4313277003,582133.4513248352
17,551062.935995922,651005.9449186153,846077.284450349,566820.6747208314
18,551062.935995922,638996.9129786864,843804.4935750726,567663.9302019924
19,551062.935995922,608004.1230087024,799648.1926832816,565062.660177606
20,551062.935995922,644140.6211396244,826711.0352586554,565062.660177606
21,551062.935995922,632482.7993807119,844135.3528164586,565062.6594127398
22,551062.935995922,650797.1127279219,842983.6754771022,565062.6596495085
23,551062.935995922,652552.2253535416,815524.498862437,568067.8477721231
24,551062.935995922,611047.7759909414,807083.4832053911,565062.6594127398
25,551062.935995922,610722.4634711014,780569.0899522421,565062.6609230891
26,551062.935995922,624363.8073078612,819705.148230271,565062.6608434827
27,551062.935995922,634826.1202650443,840302.067906939,564215.0826766489
28,551062.935995922,631117.7333685088,841568.6273527092,563367.4666964961
29,551062.935995922,648430.9917763144,813460.4914891121,613058.4183346422
30,551062.935995922,617299.403003743,814091.8244224254,565062.666982523
31,551062.935995922,629755.5911656726,819224.650126284,572548.6025552558
32,551062.935995922,626573.9342297529,819852.5693568604,568773.9563999613
33,551062.935995922,616864.181505409,860682.2606846729,565062.6605677858
34,551062.935995922,613507.5295946561,828739.5441747695,565062.6601395345
35,551062.935995922,619819.6740123684,846415.2828936112,565062.6603716954
36,551062.935995922,636765.1899662795,799650.5229662695,565062.6603716954
37,551062.935995922,609106.0095569553,780560.037901687,565062.6611386556
38,551062.935995922,618026.5685075899,841519.3372962247,564165.6765381751
39,551062.935995922,657243.5562836488,816152.543787058,635039.4351798994
40,551062.935995922,646528.423233782,803269.7099125555,567817.0274181683
41,551062.935995922,677256.1888322921,819571.7927826833,685122.6677471091
42,551062.935995922,672146.6761547981,854287.1670120191,579721.6620833306
43,551062.935995922,661568.2428541163,813359.8826964248,613378.7518360905
44,551062.935995922,663195.9499843364,819808.6975256195,616242.7550238889
45,551062.935995922,654214.516604419,824699.8633926887,581097.3735563623
46,551062.935995922,664685.7875270841,819692.3292476251,617766.2313815625
47,551062.935995922,649581.0072701422,808676.973689026,565234.4472563469
48,551062.935995922,628062.174711164,844790.6974027072,565063.473474561
49,551062.935995922,629391.2619895596,802717.6675164246,565066.4064473724
50,551062.935995922,640265.9882329049,818469.7485393507,570574.906990456
51,551062.935995922,616936.7462429854,799692.539012905,565062.6645462527
52,551062.935995922,652457.4610537298,835899.0274359917,565062.6651732612
53,551062.935995922,641755.2029024733,852135.2284455929,565387.1370580887
54,551062.935995922,620903.3950956322,835069.9439643797,572393.465508553
55,551062.935995922,635322.0336304475,845974.6725006548,565062.6600901593
56,551062.935995922,615225.1869856819,810231.9900452517,565062.6645462527
57,551062.935995922,643038.6303961453,819369.37301592,565062.701820121
58,551062.935995922,638594.4587217524,835865.3695489488,565062.6626307433
59,551062.935995922,636706.0780869053,799650.7835008939,565064.8519408782
60,551062.935995922,630128.6531950036,826419.9877363108,565062.6734378503
61,551062.935995922,638570.6029884581,867401.3945405278,565062.6636807784
62,551062.935995922,632884.3182098445,855755.715440307,565062.661765269
63,551062.935995922,652020.406787044,860983.1957626157,610601.3125829846
64,551062.935995922,649447.1457744533,821457.9085068472,568897.4401908937
65,551062.935995922,669589.7925535614,819733.9122273306,676813.204320075
66,551062.935995922,655759.3557996377,840095.7892595257,579721.361377904
67,551062.935995922,663742.1698436468,816641.4808112775,684081.3454756836
68,551062.935995922,639412.0513738843,815162.3438515121,567040.9373633462
69,551062.935995922,621215.6300279784,860481.4284392252,565062.6645462527
70,551062.935995922,628596.3850946348,844414.9822627495,565062.663322351
71,551062.935995922,625697.933064835,799650.1848337208,565062.663322351
72,551062.935995922,619289.4502064436,792535.5313599991,565062.663322351
73,551062.935995922,643757.4954224447,840099.7008697618,565062.6645462527
74,551062.935995922,649513.5344821756,845183.7369602058,565062.6645462527
75,551062.935995922,639828.2096756053,845670.7080147688,565062.6645462527
76,551062.935995922,640209.9406327443,818026.3542349522,565062.6645462527
77,551062.935995922,631957.456877879,840465.5837712203,565062.6633205168
78,551062.935995922,621128.092631613,815159.8654569418,565062.6639333847
79,551062.935995922,621694.2176199217,840097.0356881584,565062.6607912555
