,Best,Average,Worst,Median
0,590713.4941091248,970040.9650777581,1770344.6767437547,862437.9246572354
1,551548.7089848256,689107.0100831401,1439547.02483438,593304.505710227
2,551118.1961015902,639034.8406345842,826997.6607398706,569132.9276965774
3,551068.2281376997,625144.3769235977,845667.3253234762,566921.1660985169
4,551064.6465022165,621668.865000677,834497.6099959135,565062.710185356
5,551064.2407674394,636991.1669939231,818554.1046725432,565062.6589101423
6,551064.190876962,613991.197107536,784863.2932658847,565062.6589101423
7,551064.190876962,621523.2515582828,780444.2404005403,564215.0613515482
8,551064.190876962,639540.4840147154,861415.245091596,565062.6632532086
9,551064.190876962,622140.8064245752,785800.4736732282,565062.6589101423
10,551063.3255887335,621365.3288222355,780572.0699578512,565062.659155851
11,551062.9702532175,652835.5014492571,856131.7726061912,662931.4320635018
12,551062.937333036,645626.2244322071,821279.9657393761,565062.6609049726
13,551062.937333036,646635.8568528257,799650.6815027843,591570.6286024348
14,551062.937333036,661444.7240689642,830504.0323507271,656041.0901683248
15,551062.937333036,657264.1614238307,820215.5511974036,677625.9442837707
16,551062.937333036,647211.8458136766,799650.2706308207,564221.0533873348
17,551062.9152555867,653526.3106055125,799651.0905481915,662915.6794363476
18,551062.9152555867,631711.6628436794,799652.6143123836,565064.8792506009
19,551062.9152555867,655062.2251568096,824791.8348153696,582002.162738469
20,551062.9152555867,647436.337883215,799690.677134518,592575.1329688681
21,551062.9152555867,638562.6539405176,803886.8280978024,565062.6635616905
22,551062.9152555867,631680.9836108652,818286.1052063787,565062.6679371812
23,551062.9152555867,621065.3297223881,826691.4178398898,565062.6635616905
24,551062.9152555867,641649.1053040202,834435.6146564599,565062.6649371283
25,551062.9152555867,632206.3307050393,829228.5374259755,565062.668193547
26,551062.9152555867,632599.5720701222,824353.9498810729,567282.0182906238
27,551062.9152555867,630908.4615589014,799685.8298068845,565062.6570730467
28,551062.9152555867,611829.2955785082,823120.6967642177,565062.666312566
29,551062.9152555867,642557.3988237099,838937.19199916,565062.6589544851
30,551062.9152555867,615303.6845783346,824078.0248937847,565062.666312566
31,551062.9152555867,630889.7693776875,866944.3422228603,565062.6663554229
32,551062.9152555867,619017.240061311,817361.8461585742,565062.6570730467
33,551062.9152555867,641511.8448139617,860287.5248463089,565062.6618384494
34,551062.9152555867,623771.1510103052,860836.9125083872,565062.6618384494
35,551062.9152555867,636708.9011269928,860176.9312447852,565062.6618384494
36,551062.9152555867,631896.4401578592,827149.1598161319,565062.6618384494
37,551062.9152555867,638570.4812287089,835058.7339734572,576575.037248289
38,551062.9152555867,627436.4614738391,799646.9830577363,565062.6618384494
39,551062.9152555867,637604.1168453483,841637.8161471207,565062.6618384494
40,551062.9152555867,652484.8958073147,809058.1004930539,565063.7486340571
41,551062.9152555867,619033.6059886075,868225.2544499836,565062.6618384494
42,551062.9152555867,625360.43196472,780343.5391113949,565062.660792184
43,551062.9152555867,631617.1452243072,799578.9308209966,565062.6618384494
44,551062.9152555867,623719.4762037572,799651.2845375363,565062.6618384494
45,551062.9152555867,642540.1677190958,863598.530487942,572392.0223296275
46,551062.9152555867,637126.385242505,802922.4396271606,565062.6618384494
47,551062.9152555867,628427.1969830921,799651.30035345,565062.6618384494
48,551062.9152555867,634403.0141743914,799651.1847346944,565062.6618384494
49,551062.9152555867,627994.691670462,819281.6267059213,565062.6618384494
50,551062.9152555867,647108.4053494091,843559.6855679192,565062.6618384494
51,551062.9152555867,644113.1090000845,817371.4151642721,582027.2759929425
52,551062.9152555867,659788.6443630442,799690.2615198372,622135.3642132072
53,551062.9152555867,658753.3440936342,815098.2930175714,579722.4877098647
54,551062.9152555867,658245.5806750265,839700.6221160624,569951.3884386546
55,551062.9152555867,663461.4714990802,824316.3403961346,574369.2370942156
56,551062.9152555867,650315.6611916422,855144.0905605548,565544.241682817
57,551062.9152555867,662407.596788557,836752.5113488212,674540.8820283161
58,551062.9152555867,647826.7652041314,834160.5630144697,565064.7793176823
59,551062.9152555867,652295.4631291303,847129.7883499763,568059.2833687307
60,551062.9152555867,647955.526520741,839586.5269298814,580715.9739922143
61,551062.9152555867,660921.3151584849,842023.5712886308,569099.4022956176
62,551062.9152555867,635999.2597243084,800300.3721196491,571201.3350994503
63,551062.9152555867,633373.6378524996,838293.2205746344,565062.6648221372
64,551062.9152555867,629796.860432024,832719.0126061509,565062.6643854163
65,551062.9152555867,649446.4845879955,840914.1305765414,565100.4502622972
66,551062.9152555867,617657.9539693309,794282.5947738597,565062.6643854163
67,551062.9152555867,618784.529087327,840366.4283821306,565062.6643854163
68,551062.9152555867,614329.5925973398,839787.9609386704,565062.6616160466
69,551062.9152555867,598003.5827738473,793340.5164812088,565062.6609040464
70,551062.9152555867,625947.8774425744,863566.7514972396,565062.6609040464
71,551062.9152555867,635436.4416701436,845670.2694649117,565062.6612600465
72,551062.9152555867,639098.7394568902,799645.3415645682,609002.1827210886
73,551062.9152555867,642013.6903527207,845670.5852742435,565063.745472418
74,551062.9152555867,650442.9028379873,808205.6569373669,565062.6728022986
75,551062.9152555867,649848.7732846747,832089.1126804826,568208.1630994864
76,551062.9152555867,655085.5278504017,833705.5378694437,567917.1458033825
77,551062.9152555867,635781.2420671725,822325.0313638764,565062.6643854163
78,551062.9152555867,661005.0054308416,816776.0546698376,567039.1577874732
79,551062.9152555867,639734.442219525,807370.2076693237,565062.665040439
