,Best,Average,Worst,Median
0,2082712.2659274868,2732445.089141803,4633509.744595511,2626113.540459793
1,1890043.608173634,2201508.0883717067,3194792.674115287,2149192.453714561
2,1865555.4643922932,2162866.7373073455,3036662.0575120184,2091644.4929354256
3,1859658.9308092548,2114063.3104907637,2615152.5584035637,2038066.2056019185
4,1857177.2343919026,2107052.190613781,2849308.6456473605,2044120.253860725
5,1855859.11504674,2101172.4535156693,2949891.20316031,2026325.151448491
6,1852637.0493355405,2059606.2143051166,2583404.037317474,2023025.0657892271
7,1852011.577538628,2029019.2968382118,2675696.6865556384,2005667.7454581263
8,1851941.7676233097,2070469.655198671,2863865.447404633,2020968.7069871721
9,1851917.2993237376,2022441.5224502601,2589555.4623031206,2016504.5472485076
10,1851902.9781065858,2112866.103982819,2779012.503851222,2053614.0753880208
11,1851891.8438501423,2047276.1719523657,2608829.8702792577,2024865.7624677818
12,1851891.8438501423,2045601.4470655152,2618328.926598641,2018123.6084624159
13,1851891.8438501423,2043969.8076461065,2827627.604656307,2019962.6814278248
14,1851891.8438501423,2041909.0829566792,2395003.5691357953,2025623.9021363761
15,1851891.8438501423,2080297.0075901565,2834477.779790461,2020114.422626657
16,1851891.8438501423,2026781.7815668904,2609039.1554603986,2020930.7461630923
17,1851891.8438501423,2050765.3485390185,2676138.6856217384,2020223.9468787112
18,1851891.8438501423,2111839.430591015,2716921.5697912867,2021959.0648564305
19,1851891.8438501423,2023283.4311926512,2671931.012226046,1949670.3090476175
20,1851891.8438501423,2114010.9521403997,2831036.1550602075,2039181.012632241
21,1851891.8438501423,2074666.3613605525,2832652.8500920516,2019665.6837725004
22,1851891.8438501423,2062406.523179845,2605984.1340110255,2019516.4542679172
23,1851891.8438501423,2031130.6760514781,2630146.6891141245,1999576.3659494603
24,1851891.8438501423,2084105.6077617547,2745094.1696475563,2019494.4943330185
25,1851891.8438501423,2013441.1877544415,2421114.942696563,2020039.2188379383
26,1851891.8438501423,2055802.6907845724,2732515.0816618735,2019924.0906303874
27,1851891.8438501423,2079758.9911407726,2728080.976335695,2019876.2222351595
28,1851891.8438501423,2031177.618398011,2552170.3383762436,2021616.7309457823
29,1851891.8438501423,2093708.1275522893,2866257.09370979,2020471.6357213838
30,1851891.8438501423,1993278.5571267754,2512758.11243203,2019591.4739378942
31,1851891.8438501423,2051037.9209069198,3046996.9313875446,2031306.6719137845
32,1851891.8438501423,2059568.502874405,2648301.6943554487,2020076.5379605393
33,1851891.8438501423,2100611.1848697173,2856608.5834906944,2016809.7039286694
34,1851891.8438501423,2106430.3189050485,2833102.989595451,2026373.6584916313
35,1851891.8438501423,2082737.8921119485,2793251.939192822,2029782.9822076415
36,1851891.8438501423,2060076.2317080407,2643269.1910335645,2015862.1346703144
37,1851891.8438501423,2052837.862841912,2592895.8885940076,2014220.2478535422
38,1851891.8438501423,2119208.5121370074,2748831.420977468,2022368.1045956989
39,1851891.8438501423,2051253.6664950745,2757714.4121630937,2010045.1630104377
40,1851891.8438501423,2034765.5368203227,2585319.112932115,2019540.9698340278
