,Best,Average,Worst,Median
0,2214385.8205592697,2743168.0636057653,5447156.805486776,2610802.3283583364
1,1915547.2271615108,2260630.157291442,2677273.916842987,2223587.7291793237
2,1875724.0383695327,2183365.9775081105,2724834.78802197,2114604.7077946663
3,1862717.2322800104,2167511.242526332,2733959.638924049,2154441.086112325
4,1853755.844467693,2181073.7416139957,3166611.0225181077,2069880.4632624413
5,1852233.0465420566,2150908.1343540098,2784506.5557262003,2097534.875001351
6,1852086.002888097,2127691.015224023,2782443.2404517634,2063497.353244715
7,1852085.5023429869,2104541.5204104134,3038174.390592559,2064948.4799403832
8,1852085.5023429869,2118216.9131607786,2798474.622030163,2068039.955152075
9,1852085.5023429869,2158234.8715566443,2897720.332463308,2019657.1768169529
10,1852085.5023429869,2076512.430942179,2722462.2183423303,2048400.5118504483
11,1852085.5023429869,2059791.563898278,2629190.1067818822,2027558.3384756432
12,1852085.5023429869,2114440.838136397,2694653.862953244,2067224.9133648444
13,1852085.5023429869,2111528.5301383478,2690833.91025388,2026272.2062487532
14,1852085.5023429869,2137074.5861239927,2663292.47893354,2101779.216493356
15,1852085.5023429869,2174901.3965746337,2923815.7311895983,2043800.8352471937
16,1852085.5023429869,2073692.645095934,2830240.859157689,2022408.1694552412
17,1852085.5023429869,2070976.742111017,2631256.1360933874,1979160.3746503764
18,1852085.5023429869,2053237.7973028258,2809898.02372278,1969186.5618754653
19,1852085.5023429869,2078396.8085502754,2862636.9354878664,2022339.164338311
20,1852085.5023429869,2043986.6366088218,2829868.750600199,2022736.553978333
21,1852085.5023429869,2024156.456596786,2661267.7630689424,1986093.499747207
22,1852085.5023429869,2023851.2091982393,2430274.6347279903,2006688.4377941787
23,1852085.5023429869,2125545.8396981084,2829508.884002469,2028334.088035055
24,1852085.5023429869,2087276.4579268417,2784700.0047406377,2033600.855566436
25,1852085.5023429869,2073342.0230581092,2638151.320120356,2037331.7791784746
26,1852085.5023429869,2051859.0170889886,2681312.334951354,2023471.8204533136
27,1852085.5023429869,2113916.4865045217,2796533.690355138,2022844.7237592267
28,1852085.5023429869,2053370.5597789744,2833509.0682021296,2021366.3117957287
29,1852085.5023429869,2087455.0359410276,2831813.13999562,1996017.2275886703
30,1852085.5023429869,2069790.6251678853,2610904.416555266,2022955.8157264453
31,1852085.5023429869,2112578.626075778,2670662.926676452,2021350.0971447087
32,1852085.5023429869,2112960.2227979107,3095081.159196009,2026351.2852900606
33,1852085.5023429869,2103908.65324416,2516090.652987866,2033803.0277316836
34,1852085.5023429869,2098302.5987155465,2665467.370752693,2049851.5648014434
35,1852085.5023429869,2090523.788285958,2830319.459679584,2037099.8815014497
36,1852085.5023429869,2037724.2138452758,2674577.4298688015,2010207.9856448197
