,Best,Average,Worst,Median
0,602239.6453685359,676591.0365432724,756233.9477279807,672778.8078105445
1,490069.15808067255,538260.9026741349,611408.8909279708,531621.8425833818
2,438528.1734807717,494964.6716733847,554928.0272368884,490161.9451326203
3,430542.464534356,477816.06825327495,581879.5003695835,468786.21306918596
4,423842.8544245912,467756.6676133684,543060.7966321018,462035.28922557755
5,419381.03156742983,471517.34308049997,611053.9606474519,466069.9485926506
6,416937.5194119734,466612.87554869376,559910.126886603,459819.7627886989
7,415988.3376773334,465058.5765578121,542681.155265116,453566.2931200017
8,415729.28045262455,464327.59944700997,591528.8928895636,446167.09890995955
9,415691.5993545508,471711.1022303718,614372.288981304,453282.77760536084
10,415623.68758313317,466807.91992403223,564509.2548476455,455705.1451426946
11,415560.5815145235,464052.4268266348,578783.1452799859,452616.08514543076
12,415556.86651349696,468448.5425770139,586142.505940242,457886.4888637804
13,415556.30141655984,457273.1523931769,533026.6095905628,448483.40845360135
14,415556.23822458345,464064.6860487111,597440.105880354,454610.3497402013
15,415556.23822458345,461812.7591322686,581112.0327099024,449458.2036593017
16,415556.23822458345,458159.44542652625,560481.9301735963,448957.8773891886
17,415123.8360482749,462899.0165364516,558534.5025744986,446478.0607061401
18,413023.0672146855,459566.09313824517,554067.9747129094,442888.95928393916
19,411741.21624952334,459996.7183374857,559862.2850543698,437386.83956683776
20,411117.2548561307,456903.62218378106,540885.236686433,442195.98848384176
21,410512.4040380444,453005.86239327677,550372.8384891399,441921.04881665076
22,410197.21399358864,457264.768849199,539373.0417422284,446292.817807284
23,410023.84735446045,455154.2242998011,533733.0079614939,438815.61816033896
24,409902.3354833927,462458.8863687022,597560.7068315359,442758.3134059295
25,409901.9826119646,454437.6408490253,582206.5478062981,437223.19491102686
26,409901.9826119646,454816.3097652179,562011.2888369013,437397.8824527962
27,409901.9826119646,451432.11732170597,551628.0956235733,437269.6282679348
28,409901.9826119646,452849.28828055284,573143.6625855248,435960.7005659247
29,409901.9826119646,454818.46597907675,596676.1446784427,440803.61397240503
30,409901.9826119646,454322.6674586369,577915.5742626806,436543.74771714426
31,408097.9915366346,457610.7090742431,573350.4156751339,438043.20114630903
32,407676.86885520513,456410.79119698546,548659.9784849344,446794.0989029133
33,407521.8869802243,452927.92311144376,562447.9552001993,442049.2322825416
34,407171.3291368993,455382.41673287685,558138.708261144,437724.92380720994
35,406903.1289458724,452970.6553481755,548456.5779487765,443486.6821781378
36,406715.8211925352,456728.4128218937,545237.1732983068,444046.42788730725
37,406598.2760427322,453120.1986234706,552529.3841051287,444260.2930252383
38,406357.28012949706,452905.1433488025,533749.8293858087,436333.0424262587
39,406163.7051934471,452982.00930992694,563218.2543356626,442671.49368028494
40,405954.8701687978,449649.26199660863,550289.7036468581,438491.31991122745
41,405902.9043279574,454640.0518320625,616061.760458858,444653.5755909081
42,405893.8661142291,452508.06918504025,534478.4208260928,440969.52494519175
43,405867.4300327541,456787.1491658868,556562.8785201133,445160.03661495604
44,405867.2464395448,459861.7556685687,690577.9224166018,439739.2832313752
45,405867.2464395448,455787.49985574203,565657.1706845587,443833.94169844885
46,405867.2464395448,453188.796000536,551212.7961259566,438836.695001134
47,405867.2464395448,452945.56822332984,548298.8265016025,441900.59281735
48,405867.2464395448,454419.26861904905,534239.3415664373,441153.50548133516
49,405867.2464395448,453726.6297517426,553252.7245256376,439321.0971456063
50,405867.2464395448,454504.4279896054,585475.5723652723,439468.5324170082
51,405867.2464395448,452501.61698573973,538143.3541191125,442138.00685075234
52,405867.2464395448,458475.1717751159,564988.2704136485,441450.41274224565
53,405867.2464395448,455262.39628022525,574360.1049938796,443704.54802754533
54,405867.2464395448,452604.72550279886,630165.9385413353,444457.9824821889
55,405867.2464395448,455813.2463538742,583628.0079508557,443979.0861536886
56,405867.2464395448,458881.98785314895,605523.6216079483,437641.151419958
57,405867.2464395448,458092.2826042612,559895.3875649758,443011.5287828914
58,405867.2464395448,455457.80943644576,561093.5131182845,441267.670887551
59,405867.2464395448,451168.5182927845,558301.1685862654,443728.5291712295
60,405867.2464395448,458097.3989035129,572573.1715269352,445091.88621152804
61,405867.2464395448,454197.40634966583,590532.9976245619,438829.14603370207
62,405867.2464395448,455780.4057155951,544236.9966530789,443650.56417005556
63,405867.2464395448,459043.4342523284,547786.4771559163,440036.83277587226
64,405867.2464395448,455881.4779249474,559045.5773857797,441923.97920388915
65,405867.2464395448,455722.98737766093,601676.9326162867,444457.9824821889
66,405867.2464395448,453485.2639017731,547296.5351292128,440520.80046949146
67,405867.2464395448,461164.8890022355,612251.0481626205,442940.1008543337
68,405867.2464395448,457229.8317646226,575018.8924316418,444171.6238817793
69,405659.9970628149,459925.10476847325,583482.6979590456,443534.55759643944
70,404486.8653018238,457167.17114699126,559166.3041355521,447623.7122399997
71,403952.3999279063,456148.19457149395,547475.6705524309,446967.6155404129
72,403756.33488956495,457400.38441464043,565903.2752298312,449718.2803157626
73,403515.28031966084,456785.74666932516,533357.9321810852,449278.4696288883
74,403500.67412113375,454555.2432516442,585115.2992163645,444753.62257610203
75,403499.6640609126,452422.23549242975,564725.3038420167,441612.50507143035
76,403499.6073238807,463863.6124738724,615691.5759134744,443741.5726280419
77,403499.6073238807,460238.54254858417,551969.850293915,444232.4235213654
78,403499.6073238807,462645.58663529105,583443.805305686,446573.50803136866
79,403499.6073238807,459536.7100479125,590554.688143135,445871.8081097762
