,Best,Average,Worst,Median
0,598030.2943125555,679638.8146952494,775965.1172162145,677569.468533375
1,498009.49190292123,542177.411467728,616924.2023895828,536593.753350384
2,438858.3081085432,488109.1416831452,566246.3451541469,480560.1805634318
3,424280.8541034126,477581.1222527436,606816.2181002932,461785.74167321535
4,419653.55505464156,472035.9330195588,575810.3034508857,458642.98913245054
5,418339.31635718816,465026.36741745967,551572.5810060624,454304.3061965522
6,413168.5588360557,466334.15379831824,564991.4370244867,457953.19361304614
7,410774.89090820565,463065.2725641332,551135.1507449558,455436.2610495611
8,409410.69038352364,459566.95226048556,544812.3122761925,454160.14016150334
9,408136.5669175627,465125.1547329507,633629.7337157861,451950.16335978196
10,407381.86123955465,461214.0321231056,603943.7261798098,454228.7953367673
11,407312.62623696355,461151.20198878984,588691.0928926077,452943.0747382038
12,407159.0445461796,469494.74071954616,564873.0098181735,444775.9602518006
13,407117.37039659626,460845.76587735326,552938.9473300719,449002.2318578849
14,407117.0290438895,470461.8031854924,625912.7197967966,451074.04210843344
15,407117.0290438895,465978.3941751096,579752.5775147026,456143.15048357856
16,407117.0290438895,458565.5281525193,587262.8172088936,446396.90099908394
17,407117.0290438895,455861.9720011356,575159.8685199885,441020.0215854515
18,407117.0290438895,462968.18452786875,669775.4641273231,443640.86388698255
19,407117.0290438895,460887.95496097417,551864.1983299323,448990.75545914937
20,407117.0290438895,467528.9033681147,644301.1743545409,454803.77158233523
21,407117.0290438895,468792.53445416613,579057.3076295687,448383.68576690706
22,407117.0290438895,463950.99538805353,582838.121572159,447870.8791752737
23,407117.0290438895,465968.95977081446,628023.4890079555,445849.6907472962
24,407117.0290438895,457854.16812537704,555944.858600911,449238.0893031504
25,407117.0290438895,454237.9707233573,546317.445475497,443735.8703808235
26,407117.0290438895,456540.53662634955,667456.2829967462,442665.70279164973
27,407117.0290438895,460389.4766541153,624769.9027708478,447116.22001220234
28,407117.0290438895,461663.08838452457,586760.0302046579,450997.2788650289
29,407117.0290438895,463143.3961946082,610760.3965261581,450000.51942502765
30,407117.0290438895,471672.0577099629,585222.4841032766,452636.3784419111
31,407117.0290438895,463679.23660556466,579108.7023535611,449810.4299369906
32,407117.0290438895,458986.4797844993,591326.124994912,447419.8308353714
33,407117.0290438895,457965.71340698266,551506.9181789923,450362.89951074944
34,407117.0290438895,466467.2608579844,596987.7392929515,455520.9458963145
35,407117.0290438895,456994.96187074354,536878.0157239755,444101.8609663015
36,407117.0290438895,461170.6552292449,575113.094688643,445953.46748252754
37,407117.0290438895,461567.52249648684,605873.6703326489,448632.9584593675
38,407117.0290438895,454439.69569072936,565874.4173291569,441105.4205010579
39,407117.0290438895,456043.75130945543,562688.4474277318,442926.73767045274
40,407117.0290438895,458007.9258285531,586186.6171254352,444602.86088152765
41,407117.0290438895,456378.19608483027,566879.0826126563,447761.5086321812
42,407117.0290438895,456763.12405784975,567375.2306605049,443524.77919844154
43,407117.0290438895,461028.23591864185,582768.515158958,447781.3970779246
44,407117.0290438895,465228.49544238375,559124.3546136476,455156.21454256127
45,407117.0290438895,461570.72251200065,561052.925651753,449569.47786295565
46,407117.0290438895,462842.83381445747,552696.8572907737,448501.9186161727
47,407117.0290438895,459565.6571882609,566511.7365320539,445952.24157340894
48,407117.0290438895,456157.80242205295,554393.221541563,445126.9226302437
49,407117.0290438895,456904.13674606814,568224.5606652225,442547.970476525
50,407117.0290438895,458826.86795455293,551838.0984052054,452609.4025911193
51,407117.0290438895,455101.88473873114,577301.6950947403,443215.84560521453
52,407117.0290438895,458304.5055464509,563871.468994566,443490.17372641864
53,407117.0290438895,457414.8272626582,546236.8204777576,444682.93751450337
54,407117.0290438895,450766.38161765307,564845.5634082962,444586.2923686208
55,407117.0290438895,453616.50929800316,557968.70527434,446215.934290229
56,407117.0290438895,460554.5788203331,570635.3917857422,446713.7249759665
57,407117.0290438895,458205.52085223026,580189.7701193802,443030.7173690304
58,407117.0290438895,453610.3888501059,548917.2404972282,444626.93269717135
59,407117.0290438895,455895.9796749122,662104.8924285308,443645.3025840493
60,407117.0290438895,452946.86480892194,584025.614655002,439010.4226379917
61,407117.0290438895,461878.75216562225,566690.1640695657,451142.3673645911
62,407117.0290438895,455586.8387651711,599599.3532848151,441238.611361866
63,407117.0290438895,457500.20235938433,601851.4399330933,441307.18980917346
64,407117.0290438895,455384.8324375564,579809.873148662,445365.86878164276
65,407117.0290438895,455819.70670533524,545970.0030981849,441005.3304119655
66,407117.0290438895,457432.19144941197,607619.6065428101,448226.3647106716
67,407117.0290438895,451993.6164397665,541079.8606680632,442541.4281972108
68,407117.0290438895,445008.9229150905,539032.9812761648,435397.36296956154
69,407117.0290438895,454272.3783960342,577887.0840481652,436922.72183833655
70,407117.0290438895,455076.32180047844,558575.3790063759,435798.9963025206
71,407117.0290438895,456372.94544924033,561516.0932668702,439094.1639454361
72,407117.0290438895,453343.7881765143,532352.3737705904,443044.43088682706
73,407117.0290438895,454861.8885696084,567496.5413166649,440292.0246312596
74,407117.0290438895,458043.1861974832,557162.9120272374,451665.7175751236
75,407117.0290438895,456367.69250675215,553677.3155909313,446366.8505029747
76,407117.0290438895,453335.4785151712,539633.8176827981,438895.0425439078
77,407117.0290438895,458389.44588302466,567548.1832848636,441460.6422204147
78,407117.0290438895,460206.45687739673,547807.9225979215,442588.1105929476
79,407117.0290438895,458125.8345201282,595298.3204059198,438745.7228638452
