,Best,Average,Worst,Median
0,219811.4512676163,412532.99429348053,1064580.4648847047,387815.9273017168
1,175749.82736952658,272288.18191693927,432101.7002189781,253250.4994085392
2,151789.64142281725,255728.75676611217,492297.91897470976,230655.7394493703
3,148565.43441093626,253084.99985719862,487778.4497720754,221274.17698530303
4,148214.92223879998,252798.0466019177,484700.601373015,225150.70891663723
5,148155.33042543707,243223.44642612938,484242.04335296585,228955.34506064182
6,148152.8936381067,252648.73928637544,485643.1680874802,199412.09854563157
7,148126.27069211524,253488.83245787537,455535.6781955436,248835.2055457916
8,148111.62963166984,246847.83399322268,587851.1798308855,238483.4733632114
9,148111.12758889922,239330.88020127112,552865.7985000246,230599.31030900648
10,148111.12758889922,257823.03523236734,451304.32495873334,236710.53458556655
11,148111.12758889922,257233.67955346758,450964.0527936338,236273.76559370733
12,148111.12758889922,234713.01150181238,441115.847553887,226307.26086339235
13,148111.12758889922,243689.14307710147,424964.2821278559,235662.83172803465
14,148111.12758889922,245914.5519179325,457740.85876168456,258715.3648341012
15,148111.12758889922,225606.524066016,411777.20350020216,231173.21881964628
16,148111.12758889922,218050.97933878584,411338.1987257432,219401.90953663702
17,148111.12758889922,216325.3158858706,405787.47753377573,181238.09225830977
18,148111.12758889922,215493.54835542617,322917.6602561213,191016.66852095816
19,148111.12758889922,230461.2912619336,403840.059699227,231414.40873741236
20,148111.12758889922,252533.99298403485,442575.84170886886,241076.27933526892
21,148111.12758889922,263336.9064410712,505039.13721612,242692.58593619554
22,148111.12758889922,251673.70665185698,455748.0546631438,242892.84854757055
23,148111.12758889922,262228.6949777945,567605.8664098054,249841.3789430986
24,148111.12758889922,249809.66243772896,506540.743942832,230585.6192524156
25,148111.12758889922,237984.1868304548,428265.39154685405,226584.31861608007
26,148111.12758889922,268572.0007739567,520359.9231229896,246245.89304366126
27,148111.12758889922,252572.9131793639,449533.448448999,246253.75746550702
28,148111.12758889922,239167.23508715138,450061.92405692826,232647.7233843514
29,148111.12758889922,249733.7368770464,449408.5824795398,247944.0584262613
30,148111.12758889922,265218.3620011087,499595.00049436523,248371.7164628862
31,148111.12758889922,254485.63934862817,535353.863126115,247501.04258143465
32,148111.12758889922,268603.33233648364,529560.9423806912,254781.21265268204
33,148111.12758889922,259932.61457819576,450665.1988486054,248481.5206447483
34,148111.12758889922,247236.61783745058,459624.68687598547,245718.54074524477
35,148111.12758889922,237975.57599988268,581675.7651210297,239042.73705902504
36,148111.12758889922,245718.87358639916,471876.6966516155,241923.73646563466
37,148111.12758889922,237902.1868983097,394178.1657419038,243699.37623791856
38,148111.12758889922,241706.0335547905,390738.3135174579,241827.53856845712
39,148111.12758889922,246362.88371442273,555177.7242012005,233896.10717680043
40,148111.12758889922,233735.38117612447,493401.92773299856,224583.97161385207
41,148111.12758889922,246321.43398117783,461955.65574902063,219997.58194803292
42,148111.12758889922,241202.42817371662,415566.6782854651,237907.3376793891
43,148111.12758889922,255340.52039380217,469878.95320055773,248337.39749579155
44,148111.12758889922,257348.53510781433,470215.19935561664,248108.8558901727
45,148111.12758889922,248344.69272319035,432685.93044758803,246462.0064869045
46,148111.12758889922,237222.58214806716,382779.31160245684,235887.52092484495
47,148111.12758889922,245929.57500627593,434380.5616969332,258974.68237283526
48,148111.12758889922,245051.8685087933,541541.5258674372,240770.3609495745
49,148111.12758889922,220181.24730044935,354755.24049799267,227282.26397524588
50,148111.12758889922,233399.5976783127,424528.21554411756,230996.2248262186
51,148111.12758889922,236461.38993796532,421093.8889944063,231936.67694475263
52,148111.12758889922,227530.95366376927,387314.9301119228,215391.50608252705
53,148111.12758889922,245734.86045039323,424869.92836163414,235265.90126471833
54,148111.12758889922,255799.29570300772,499070.34972613736,242371.34364786753
55,148111.12758889922,257880.50884889037,491304.0189061524,249589.8612190236
56,148111.12758889922,263192.21865294944,548244.5918731305,239861.86775826474
57,148111.12758889922,261043.50130645253,446230.6321280942,242483.81629739245
58,148111.12758889922,255283.9689551642,600324.3996110385,243069.84830098058
59,148111.12758889922,245834.44215784312,446231.21894705354,249208.289362563
60,148111.12758889922,241141.76811504224,505062.6206265338,245966.74635374022
61,148111.12758889922,231179.65649949881,446819.000521471,226052.04542542892
62,148111.12758889922,236145.78194648636,469360.5645560743,231954.06485637458
63,148111.12758889922,243594.7960243507,443394.46426581324,238596.40986766538
64,148111.12758889922,253569.78983897035,444575.85130302387,253636.26677062298
65,148111.12758889922,260207.97052424942,571878.0191409546,234381.8692087094
66,148111.12758889922,261035.56348880322,456452.26131566416,234846.01814268343
67,148111.12758889922,245920.17649765968,442556.38610562,235731.8094755005
68,148111.12758889922,239944.64353881223,370734.57003425085,245807.83908761537
69,148111.12758889922,260090.32733912172,531849.8488224612,255537.61566029943
70,148111.12758889922,254334.52178551085,416999.5655129649,249893.27729659088
71,148111.12758889922,239461.97487246484,393407.8879440092,239983.62390420935
72,148111.12758889922,238778.61853013013,391000.2855949045,232386.43648546757
73,148111.12758889922,252993.0232762828,442550.4404110863,238993.9779161949
74,148111.12758889922,255526.15841104824,442504.19603822136,241758.89672827028
75,148111.12758889922,255246.3925326612,442829.4783817758,233099.70247380133
76,148111.12758889922,251140.165451716,442637.69414256606,232358.13193343306
77,148111.12758889922,229075.89269147415,441755.6151079611,231970.2009792268
78,148111.12758889922,240354.16485466948,499657.7581972056,236340.7570814554
79,148111.12758889922,249837.78765774498,545322.8574976778,233723.90102355895
