,Best,Average,Worst,Median
0,508277.7543118393,554955.9016105834,623961.6052386018,553442.2350885372
1,385480.76447985746,425991.09155366843,465694.319724804,428748.5982037805
2,343973.91229191795,381996.8189245699,431213.3226186072,380153.3775391252
3,332054.31473300885,371419.60081925907,454546.544285915,364594.9826710285
4,327632.6515417864,367593.13300528075,451128.2838093771,357215.9576325002
5,324910.82538427645,364103.5489695546,445432.9452982971,353350.6153503652
6,323610.72800278873,355279.3665068521,452258.2652039008,346823.73004838196
7,322752.7377769748,357484.7491644939,421327.5198820722,345725.04139596736
8,321418.57484426635,354295.12871936813,434580.70940680895,342259.52766854386
9,319880.1288635279,359624.18547828525,444866.10977393435,345338.378307641
10,319498.7663329817,364218.47669428744,484234.07637953205,354059.0764789841
11,319368.21640983014,363721.869426071,449076.7103096396,351333.38886101794
12,319261.75698197144,357838.2295947531,431656.967559119,350112.84958942985
13,319210.82362864155,353173.63566314394,432920.67892991786,342355.5170119299
14,319160.0096861268,356319.68394196616,453898.84007198457,342038.6694886354
15,319149.88218267215,354154.28934611415,424748.8878685433,340791.25985002297
16,319106.7156397671,352447.14838912216,434880.5723856919,339336.17001866276
17,319086.4718699653,352357.5869807263,419504.78856658033,339475.3714707895
18,319085.97898117884,352953.133238983,439737.97128319065,340397.6239425777
19,319085.948837662,350349.38427657733,430189.8062465675,338551.3046806353
20,319085.948837662,351856.21307298465,419864.78446476057,338650.04151841195
21,319085.948837662,357496.37669084844,434181.0702939746,340087.1909651621
22,319085.948837662,354446.21786735515,427629.4033775042,339026.3319703331
23,319085.948837662,359176.1849723156,451048.05266294396,341739.08883376
24,319085.948837662,357862.3079563953,436219.79734366306,340314.493252308
25,319085.948837662,352355.14282601664,432425.8331665909,341076.5713103557
26,318060.64773603407,353476.4274755763,447863.0106013814,341664.72281740623
27,317794.35166049784,353747.9106461114,433327.11674773745,341466.8895196739
28,317723.7928532503,355163.83471287246,431694.02276101604,341978.60204242775
29,317715.7949194287,354273.99321232206,440230.13738428184,344577.79267699947
30,317714.01861120027,354128.3180310316,447798.2261710493,345193.1834505398
31,317713.3679837653,355676.3446967677,428396.3297250362,344756.0631243618
32,317713.07346700376,357209.71081599465,453146.5633060302,343605.7886618264
33,317712.97309127764,357473.6093411786,453358.3717645388,343081.78732668585
34,317712.97309127764,352327.0515354373,427217.0339667626,343248.3448907193
35,317712.97309127764,350405.1063939152,444218.199874502,336995.7812230447
36,317712.97309127764,354274.0669337599,436560.7195463645,341800.1108753628
37,317712.97309127764,353856.3163040997,433121.5521615518,341650.62401059276
38,317712.97309127764,352684.67655925994,441818.83367043163,341806.18271809333
39,317712.97309127764,356736.82505134225,435992.96693683777,343365.15709031495
40,317712.97309127764,354654.17043645226,442248.01696026465,343200.08006925415
41,317712.97309127764,348279.80142401386,430268.34781173524,338636.9468465039
42,317712.97309127764,349264.0798240212,433910.4339309187,337303.4918555872
43,317712.97309127764,351219.89936250733,474598.05042748747,334135.1435415406
44,317712.97309127764,354846.37156655185,441928.18652276695,336715.7178892219
45,317712.97309127764,352155.9345943767,419375.685056911,333951.454930863
46,317712.97309127764,355458.8541225945,448017.2295766972,336114.95586363494
47,317712.97309127764,354914.9742261471,439158.32212637796,340426.59426953585
48,317712.97309127764,359288.3922307927,453331.73756303324,343706.5141285235
49,317712.97309127764,355810.4130909763,452518.5211762707,341157.4364871648
50,317712.97309127764,350051.80177121033,436986.99667435314,337490.83641355694
51,317712.97309127764,357280.18499474495,466346.274836638,340438.3516185854
52,317712.97309127764,351616.53917052946,441209.98221128527,337520.0896620156
53,317712.97309127764,360129.8405384148,454368.98352967785,348752.01395450137
54,317712.97309127764,356160.2587209589,445045.222733436,351014.75233974215
55,317712.97309127764,355634.7510685764,451764.25114515866,339930.5147695901
56,317712.97309127764,353064.856276338,436870.3797648751,337503.4513349866
57,317712.97309127764,354256.5221570576,458571.35001426784,339725.36551202857
58,317712.97309127764,357210.69484443235,464869.8660181144,336695.6115447482
59,317712.97309127764,360331.439031627,462942.7347179911,339868.8374900989
60,317712.97309127764,357504.37100547366,459218.59818089264,337841.775701325
61,317712.97309127764,354415.61449791526,446924.18163865304,348065.6166646229
62,317712.97309127764,357412.70258121367,466978.38474697695,348467.7368045094
63,317712.97309127764,352131.4645209627,434906.3561562634,341458.9537532816
64,317712.97309127764,355654.8648151706,450482.76073712274,349566.1838719262
65,317712.97309127764,354051.6050683608,463469.85716626485,337994.98600991006
66,317712.97309127764,355116.43498679984,452058.95649927296,338207.42408775026
67,316968.3179866186,354899.90777474974,452236.9887763922,342482.63549633604
68,316666.1843300469,351795.7927043448,441307.10169954144,339433.5631222132
69,316629.82129623287,354792.23176834395,455050.6651484519,336858.3507106613
70,316624.0964591678,361405.4700171248,446566.72666024126,344537.0632854454
71,316622.79167097737,362150.4015769409,468985.2954310473,347757.07472101186
72,316622.15379405976,358565.27252685005,456158.7477390531,347217.1069437696
73,316621.8592772982,355758.41386541974,444885.497741651,339765.68010281114
74,316621.758901572,351537.66146167566,470943.4731818674,337565.7573883778
75,316621.758901572,359742.73169910425,433758.2549096785,341418.35271590896
76,316621.758901572,358264.53455926204,436694.1570237449,347643.19271825545
77,316621.758901572,358450.65887690417,449427.08680737705,347122.0004652377
78,316621.758901572,358038.5776456561,427768.632201861,355290.9760967178
79,316621.758901572,355148.83316038694,444071.397979059,348382.9757664419
